,Instructor,Course,Term,Enroll,Evals,Rcmnd_Class,Rcmnd_Instructor,Study_Hrs_Per_Wk,Grade_Expected,Grade,Link
873,"Wuerthwein, Frank",PHYS 1A  - Mechanics                      A,WI09,254,140,71.6,77.5,5.32,3.17,2.87,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642596
874,"Bassov, Dmitri N.",PHYS 1B  - Electricity and Magnetism      A,WI09,346,80,61.1,46.1,5.24,3.28,3.29,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642608
875,"Bassov, Dmitri N.",PHYS 1B  - Electricity and Magnetism      B,WI09,316,58,54.5,25.9,4.82,3.36,3.29,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642609
876,"Levine, Herbert",PHYS 1B  - Electricity and Magnetism      C,WI09,190,96,83.0,94.7,5.17,3.4,2.97,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642610
877,"Okamura, Melvin Y.","PHYS 1C  - Waves, Optics & Modern Physics A",WI09,174,60,73.7,66.1,4.4,3.39,2.76,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642647
878,"Schuller, Ivan K",PHYS 2A  - Physics-Mechanics              A,WI09,205,86,92.9,75.3,4.43,3.2,2.86,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642656
879,"Schuller, Ivan K",PHYS 2A  - Physics-Mechanics              B,WI09,216,89,80.9,78.7,5.23,2.91,2.86,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642658
880,"Schuller, Ivan K",PHYS 2A  - Physics-Mechanics              C,WI09,226,90,79.5,71.3,4.68,3.15,2.86,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642660
881,"Grinstein, Benjamin",PHYS 2B  - Phys-Electricity and Magnetism A,WI09,175,121,86.3,86.4,6.82,3.08,2.29,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642662
882,"Sinha, Sunil K",PHYS 2B  - Phys-Electricity and Magnetism B,WI09,182,97,80.4,82.6,4.88,3.62,3.19,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642664
883,"Yagil, Avi",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,WI09,169,59,75.9,92.6,4.47,3.39,2.96,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642666
884,"Groisman, Alexander","PHYS 2C  - Physics-Flu,Wav,Thrmdyn,Optics A",WI09,155,46,84.1,81.8,5.02,3.35,3.01,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642677
885,"Shpyrko, Oleg","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",WI09,196,118,75.7,97.3,4.84,3.58,3.5,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642679
886,"Hirsch, Jorge Eduardo",PHYS 2D  - Phys-Relativity&Quantm Physics A,WI09,49,22,72.7,68.2,6.05,3.0,2.55,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642691
887,"Sharma, Vivek A.",PHYS 4A  - Physics/Physics Majrs-Mechancs A,WI09,31,19,100.0,100.0,3.97,3.42,3.36,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642693
888,"Jenkins, Elizabeth","PHYS 4D  - Phys Majrs-EM Wav,Opt,Spec Rel A",WI09,21,14,100.0,71.4,4.5,3.31,3.16,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642695
889,"Tytler, David Robert",PHYS 7 - Introductory Astronomy         A,WI09,68,33,63.6,69.7,3.23,3.32,2.81,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642697
890,"Tytler, David Robert",PHYS 8 - Physics of Everyday Life       A,WI09,67,26,72.0,76.0,2.74,3.29,3.32,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642699
891,"Fuller, George Michael",PHYS 87 - Freshman Seminar               A,WI09,13,14,92.3,100.0,0.5,,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=646816
892,"Surko, Clifford M",PHYS 100A  - Electromagnetism               A,FA08,52,43,97.7,90.7,6.26,3.22,2.57,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630654
893,"Padoan, Paolo",PHYS 105A  - Mathematical&Computational Phy A,FA08,45,22,81.8,95.5,8.32,3.18,3.14,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630655
894,"Hicks, J. Charles",PHYS 11 - Survey of Physics              A,FA08,134,45,42.2,40.0,3.21,3.38,3.06,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630651
895,"Intriligator, Kenneth Arthur",PHYS 110A  - Mechanics                      A,FA08,53,29,96.6,93.1,6.78,3.14,2.77,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630658
896,"Driscoll, Charles F.",PHYS 120B  - Physical Measurements          A,FA08,28,11,100.0,100.0,8.32,3.73,3.48,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630659
897,"Branson, James G",PHYS 130B  - Quantum Physics                A,FA08,32,25,84.0,88.0,8.25,3.26,3.05,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630662
898,"Arovas, Daniel P",PHYS 140A  - Statistical & Thermal Physics  A,FA08,37,25,91.3,81.0,8.18,2.96,3.14,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630664
899,"Wolfe, Arthur Michael",PHYS 160 - Stellar Astrophysics           A,FA08,20,15,80.0,60.0,4.1,3.47,3.16,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630666
900,"Onuchic, Jose N",PHYS 1A  - Mechanics                      A,FA08,286,52,84.3,82.4,5.13,3.12,2.91,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630550
901,"Onuchic, Jose N",PHYS 1A  - Mechanics                      B,FA08,321,175,81.4,89.8,4.65,3.36,2.91,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630551
902,"Onuchic, Jose N",PHYS 1A  - Mechanics                      C,FA08,321,181,80.0,86.9,5.39,3.27,2.91,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630552
903,"Keating, Brian",PHYS 1B  - Electricity and Magnetism      A,FA08,187,56,81.5,74.5,4.97,3.35,2.78,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630589
904,"Levine, Herbert","PHYS 1C  - Waves, Optics & Modern Physics A",FA08,244,71,80.6,54.5,3.8,3.53,2.96,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630598
